models/RNTN_wvecDim_30_step_10e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 434 : Cost=21.4819, ExpCost=21.1091.
Iter 435 : Cost=21.2744, ExpCost=21.1108.
Iter 436 : Cost=18.4786, ExpCost=21.0845.
Iter 437 : Cost=23.9463, ExpCost=21.1131.
Iter 438 : Cost=22.9199, ExpCost=21.1311.
Iter 439 : Cost=19.8918, ExpCost=21.1187.
Iter 440 : Cost=19.7802, ExpCost=21.1054.
Iter 441 : Cost=22.3431, ExpCost=21.1177.
Iter 442 : Cost=24.5836, ExpCost=21.1524.
Iter 443 : Cost=22.4142, ExpCost=21.1650.
Iter 444 : Cost=17.5650, ExpCost=21.1290.
Iter 445 : Cost=20.7559, ExpCost=21.1253.
Iter 446 : Cost=19.0281, ExpCost=21.1043.
Iter 447 : Cost=21.5333, ExpCost=21.1086.
Iter 448 : Cost=22.8685, ExpCost=21.1262.
Iter 449 : Cost=21.7885, ExpCost=21.1328.
Iter 450 : Cost=20.2235, ExpCost=21.1237.
Iter 451 : Cost=19.4737, ExpCost=21.1072.
Iter 452 : Cost=20.1459, ExpCost=21.0976.
Iter 453 : Cost=26.0215, ExpCost=21.1469.
Iter 454 : Cost=20.3147, ExpCost=21.1385.
Iter 455 : Cost=21.9159, ExpCost=21.1463.
Iter 456 : Cost=23.6219, ExpCost=21.1711.
Iter 457 : Cost=23.0999, ExpCost=21.1904.
Iter 458 : Cost=19.7997, ExpCost=21.1764.
Iter 459 : Cost=22.3950, ExpCost=21.1886.
Iter 460 : Cost=19.6002, ExpCost=21.1727.
Iter 461 : Cost=24.1369, ExpCost=21.2024.
Iter 462 : Cost=25.2212, ExpCost=21.2426.
Iter 463 : Cost=19.3587, ExpCost=21.2237.
Iter 464 : Cost=16.4875, ExpCost=21.1764.
Iter 465 : Cost=21.0421, ExpCost=21.1750.
Iter 466 : Cost=22.9752, ExpCost=21.1930.
Iter 467 : Cost=18.3679, ExpCost=21.1648.
Iter 468 : Cost=21.7326, ExpCost=21.1705.
Iter 469 : Cost=20.6309, ExpCost=21.1651.
Iter 470 : Cost=20.1746, ExpCost=21.1552.
Iter 471 : Cost=19.4326, ExpCost=21.1379.
Iter 472 : Cost=20.4201, ExpCost=21.1308.
Iter 473 : Cost=18.2428, ExpCost=21.1019.
Iter 474 : Cost=21.9812, ExpCost=21.1107.
